title,addr,mapx,mapy,tel,contenttypeid,,kakaoid
군위 화산산성 전망대,대구광역시 군위군 삼국유사면 화북리,128.7845257,36.09854482,,12,,102961959
김광석다시그리기길,대구광역시 중구 달구벌대로 2238,128.6074869,35.86146006,,12,,14600118
달성보전망대,대구광역시 달성군 논공읍 비슬로 1193,128.4202457,35.73654854,,12,,14725460
대구 동성로거리,대구광역시 중구 동성로2길 27,128.594085,35.87021438,,12,,298128811
대구 코오롱 야외음악당,대구광역시 달서구 야외음악당로 180,128.5561556,35.85105474,,14,,7816380
대구두류공원,대구광역시 달서구 공원순환로 36,128.5637105,35.85001055,,12,,11347997
수성빛예술제,대구광역시 수성구 무학로 112 (두산동),128.6206033,35.82941949,053-668-1504,15,,389840947
수창청춘맨숀,대구광역시 중구 달성로22길 27,128.5838719,35.87543305,,14,,
앞산 케이블카(앞산 전망대),대구광역시 남구 앞산순환로 574-114 앞산케이블카,128.5871647,35.82440277,,12,,
앞산 해넘이전망대,대구광역시 남구 대명동,128.5655247,35.83220705,,12,,
이월드 83타워,대구광역시 달서구 두류공원로 200,128.5665879,35.85328246,,12,,
아양기찻길,대구광역시 동구 해동로 82,128.6383389,35.89034903,,12,,
동촌유원지,대구광역시 동구 효동로2길 72,128.6546406,35.87827847,,12,,
수성못 유원지,대구광역시 수성구 두산동,128.6177258,35.82764186,,12,,
영남제일관,대구광역시 수성구 팔현길 248,128.6582348,35.87543997,,12,,
앞산 케이블카(앞산 전망대),대구광역시 남구 앞산순환로 574-114 앞산케이블카,128.5871647,35.82440277,,12,,
안지랑 곱창골목,대구광역시 남구 안지랑로16길 67,128.5751904,35.83690947,,12,,
앞산카페거리,대구광역시 남구 대명남로 191,128.5791123,35.835818,,12,,
(사)영남선비문화수련원(구암서원),대구광역시 북구 연암공원로17길 20,128.5968533,35.90162476,,32,,
대구 서문시장 & 서문시장 야시장,대구광역시 중구 큰장로26길 45,128.5807862,35.86892261,,38,,
대구 칠성시장&별별상상 칠성야시장,대구광역시 북구 칠성시장로 28,128.6048061,35.87653608,053-423-3480,38,,
별빛캠프 캠핑장,대구광역시 달서구 앞산순환로 248 달서별빛캠프 캠핑장,128.5570646,35.8232829,,28,,
이월드,대구광역시 달서구 두류공원로 200,128.5648325,35.85488224,,12,,
이월드 83타워,대구광역시 달서구 두류공원로 200,128.5665879,35.85328246,,12,,
디아크문화관,대구광역시 달성군 다사읍 강정본길 57,128.4650639,35.8411653,,12,,
옥연지 송해공원,대구광역시 달성군 옥포읍,128.4803059,35.78037523,,12,,
서부 오미(味)가미(味)거리,대구광역시 서구 국채보상로75길 25-1,128.5721868,35.87464959,,12,,
와룡산 상리봉 전망대,대구광역시 달서구 선원로33안길 66,128.5103674,35.86971012,,12,,
스파크랜드(대관람차),대구광역시 중구 동성로6길 61,128.5987652,35.86875074,,12,,
동산청라언덕,대구광역시 중구 달구벌대로 2029,128.5849831,35.86662573,,12,,
대구 계산동성당,대구광역시 중구 서성로 10,128.587769,35.86797563,,12,,
월광수변공원,대구광역시 달서구 월곡로 5,128.5483299,35.79884384,,12,,
앞산 해넘이전망대,대구광역시 남구 대명동,128.5655247,35.83220705,,12,,
대구 세천늪테마정원,대구광역시 달성군 다사읍 세천리,128.4685236,35.87794453,,12,,
